side,movie_title,emo_types,n_nrc_categories,nrc_entropy
human,Il siero della vanità,2,0,0.0
ai,Il siero della vanità,3,4,1.9219280948873625
human,In God We Trust (or Gimme That Prime Time Religion),1,3,1.584962500721156
ai,In God We Trust (or Gimme That Prime Time Religion),2,0,0.0
human,In the Mood for Love,2,0,0.0
ai,In the Mood for Love,6,6,2.5654483718208256
human,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2,1,-0.0
ai,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2,0,0.0
human,Jekyll,3,4,1.974937501201927
ai,Jekyll,4,6,2.584962500721156
human,Jury Duty,0,0,0.0
ai,Jury Duty,2,0,0.0
human,King Solomon's Treasure,0,0,0.0
ai,King Solomon's Treasure,0,0,0.0
human,Kisses and Caroms,1,0,0.0
ai,Kisses and Caroms,2,1,-0.0
human,Kukushka,3,1,-0.0
ai,Kukushka,4,2,0.8112781244591328
human,L.A. Law: Pilot,2,4,2.0
ai,L.A. Law: Pilot,0,0,0.0
human,La leggenda del rubino malese,5,6,2.481714572986073
ai,La leggenda del rubino malese,2,0,0.0
human,La moglie di mio padre,5,4,1.7924812503605778
ai,La moglie di mio padre,4,3,1.5
human,Last Stand,0,0,0.0
ai,Last Stand,3,4,2.0
human,Le Bossu,2,0,0.0
ai,Le Bossu,1,1,-0.0
human,Le Boucher,0,0,0.0
ai,Le Boucher,2,2,1.0
human,Le Samouraï,1,0,0.0
ai,Le Samouraï,3,1,-0.0
human,Les Dames du Bois de Boulogne,10,5,2.197159723424149
ai,Les Dames du Bois de Boulogne,3,1,-0.0
human,Let's Be Friends!,4,5,2.1556390622295662
ai,Let's Be Friends!,3,4,2.0
human,Limbo (I),1,3,1.584962500721156
ai,Limbo (I),2,1,-0.0
human,Lion of the Desert,1,3,1.584962500721156
ai,Lion of the Desert,4,6,2.5216406363433186
human,Liu jai yim taam,4,4,1.971335285306981
ai,Liu jai yim taam,5,7,2.721928094887362
human,Love Letter,3,4,1.950212064914747
ai,Love Letter,6,6,2.5216406363433186
human,Love Streams,1,0,0.0
ai,Love Streams,6,2,1.0
human,Luminarias,1,0,0.0
ai,Luminarias,2,3,1.584962500721156
human,Main Khiladi Tu Anari,2,0,0.0
ai,Main Khiladi Tu Anari,1,0,0.0
human,Man About Town,1,0,0.0
ai,Man About Town,2,1,-0.0
human,Mardi Gras Massacre,5,4,1.7924812503605778
ai,Mardi Gras Massacre,5,1,-0.0
human,Mary Poppins,9,7,2.7516291673878226
ai,Mary Poppins,3,1,-0.0
human,Melinda and Melinda,4,2,1.0
ai,Melinda and Melinda,1,0,0.0
human,Merci pour le Chocolat,2,1,-0.0
ai,Merci pour le Chocolat,1,1,-0.0
human,Mo' Money,1,4,2.0
ai,Mo' Money,1,0,0.0
