side,rank,cum_share
ai,63,0.9309967141292442
ai,64,0.9331872946330778
ai,65,0.9353778751369113
ai,66,0.9375684556407448
ai,67,0.9397590361445783
ai,68,0.9419496166484118
ai,69,0.9441401971522454
ai,70,0.9463307776560789
ai,71,0.9485213581599123
ai,72,0.9507119386637459
ai,73,0.9518072289156626
ai,74,0.9529025191675794
ai,75,0.9539978094194962
ai,76,0.9550930996714129
ai,77,0.9561883899233297
ai,78,0.9572836801752465
ai,79,0.9583789704271632
ai,80,0.9594742606790799
ai,81,0.9605695509309967
ai,82,0.9616648411829135
ai,83,0.9627601314348302
ai,84,0.963855421686747
ai,85,0.9649507119386638
ai,86,0.9660460021905805
ai,87,0.9671412924424972
ai,88,0.968236582694414
ai,89,0.9693318729463308
ai,90,0.9704271631982475
ai,91,0.9715224534501643
ai,92,0.9726177437020811
ai,93,0.9737130339539978
ai,94,0.9748083242059146
ai,95,0.9759036144578314
ai,96,0.976998904709748
ai,97,0.9780941949616648
ai,98,0.9791894852135816
ai,99,0.9802847754654983
ai,100,0.9813800657174151
ai,101,0.9824753559693319
ai,102,0.9835706462212487
ai,103,0.9846659364731654
ai,104,0.9857612267250822
ai,105,0.9868565169769989
ai,106,0.9879518072289156
ai,107,0.9890470974808324
ai,108,0.9901423877327492
ai,109,0.9912376779846659
ai,110,0.9923329682365827
ai,111,0.9934282584884995
ai,112,0.9945235487404163
ai,113,0.9956188389923329
ai,114,0.9967141292442497
ai,115,0.9978094194961665
ai,116,0.9989047097480832
ai,117,1.0
