side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
ai,In the Mood for Love,0.0,0.3333333333333333,4.725555555555555
human,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,0.0,0.0,5.43
ai,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,0.0,1.0,4.800000000000001
human,Jekyll,0.0,0.0,4.633333333333334
ai,Jekyll,0.0,0.0,4.59
human,Jury Duty,,,
ai,Jury Duty,0.0,1.0,4.83
human,King Solomon's Treasure,,,
ai,King Solomon's Treasure,,,
human,Kisses and Caroms,0.0,0.0,5.82
ai,Kisses and Caroms,0.0,0.5,3.965
human,Kukushka,0.0,0.3333333333333333,3.67
ai,Kukushka,0.0,0.2,4.692
human,L.A. Law: Pilot,0.0,0.5,5.375
ai,L.A. Law: Pilot,,,
human,La leggenda del rubino malese,0.1666666666666666,0.0,4.466666666666667
ai,La leggenda del rubino malese,0.0,1.0,4.59
human,La moglie di mio padre,0.0,0.0,4.888333333333333
ai,La moglie di mio padre,0.25,0.0,4.6775
human,Last Stand,,,
ai,Last Stand,0.0,0.3333333333333333,4.973333333333334
human,Le Bossu,0.0,0.0,5.1850000000000005
ai,Le Bossu,0.0,0.0,4.65
human,Le Boucher,,,
ai,Le Boucher,0.0,0.5,3.945
human,Le Samouraï,1.0,0.0,3.74
ai,Le Samouraï,0.0,0.6666666666666666,4.750000000000001
human,Les Dames du Bois de Boulogne,0.1818181818181818,0.1818181818181818,4.931818181818182
ai,Les Dames du Bois de Boulogne,0.0,0.3333333333333333,4.970000000000001
human,Let's Be Friends!,0.0,0.0,4.8825
ai,Let's Be Friends!,0.0,0.3333333333333333,4.906666666666667
human,Limbo (I),0.0,0.0,4.76
ai,Limbo (I),0.0,0.6666666666666666,4.510000000000001
human,Lion of the Desert,0.0,0.0,4.09
ai,Lion of the Desert,0.0,0.0,4.4975
human,Liu jai yim taam,0.0,0.0,3.966
ai,Liu jai yim taam,0.0,0.4,4.296
human,Love Letter,0.1666666666666666,0.0,4.951666666666667
ai,Love Letter,0.1666666666666666,0.1666666666666666,4.531666666666667
human,Love Streams,1.0,0.0,3.96
ai,Love Streams,0.0,0.5,4.79
human,Luminarias,0.0,1.0,5.22
ai,Luminarias,0.0,0.0,5.125
human,Main Khiladi Tu Anari,0.25,0.0,5.300000000000001
ai,Main Khiladi Tu Anari,0.0,1.0,4.44
human,Man About Town,0.0,1.0,4.44
ai,Man About Town,0.0,0.5,4.67
human,Mardi Gras Massacre,0.0,0.2,4.44
ai,Mardi Gras Massacre,0.2,0.4,4.529999999999999
human,Mary Poppins,0.1111111111111111,0.1111111111111111,4.497777777777777
ai,Mary Poppins,0.0,0.3333333333333333,4.03
human,Melinda and Melinda,0.1428571428571428,0.0,5.508571428571429
ai,Melinda and Melinda,0.0,1.0,4.45
human,Merci pour le Chocolat,0.0,0.0,3.65
ai,Merci pour le Chocolat,0.0,0.0,4.65
human,Mo' Money,0.0,0.0,5.53
ai,Mo' Money,0.0,1.0,4.44
human,Montana Belle,0.0,1.0,4.805
ai,Montana Belle,0.0,0.0,4.375
human,Mr. Bones (I),0.0,0.0,4.46
ai,Mr. Bones (I),0.0,0.3333333333333333,4.406666666666666
human,Mulholland Falls,0.0,0.0,4.75
ai,Mulholland Falls,0.0,0.5,4.985
human,Mumbai Express,0.0,0.0,4.95
ai,Mumbai Express,0.0,0.6,4.634
human,Neutral Port,0.0,1.0,5.16
ai,Neutral Port,0.0,0.0,4.91
human,Ngo si seoi,0.0,0.0,4.670000000000001
ai,Ngo si seoi,0.0,0.0,4.8
human,Nick Name & the Normals,0.0,0.0,5.260000000000001
ai,Nick Name & the Normals,0.0,1.0,4.37
human,Night of the Zombies,0.0,0.0,3.14
ai,Night of the Zombies,0.0,0.5714285714285714,4.758571428571429
human,Nightmare Alley,0.0,0.0,4.95
ai,Nightmare Alley,0.0,0.0,4.68
human,Nine Deaths of the Ninja,0.2,0.4,4.606
ai,Nine Deaths of the Ninja,0.0,0.0,5.105
human,No Man's Land (I),0.0,0.5,4.48
ai,No Man's Land (I),0.0,0.5,4.977500000000001
human,No Room for the Groom,0.25,0.25,3.8075
ai,No Room for the Groom,0.2,0.2,4.322
human,Norang meori 2,0.5,0.0,4.345
ai,Norang meori 2,0.0,0.5,4.48
human,"North and South, Book II",0.2222222222222222,0.0,5.161111111111111
ai,"North and South, Book II",0.0,0.0,4.26
human,On the Old Spanish Trail,0.5,0.0,4.995
ai,On the Old Spanish Trail,0.0,0.5,4.985
human,One Six Right,0.1428571428571428,0.1428571428571428,5.5371428571428565
ai,One Six Right,0.2,0.2,4.69
human,"One, Two, Three",0.0,0.0,4.114
ai,"One, Two, Three",0.0,0.0,4.6
human,Ooru naito rongu: Sanji,0.5,0.0,4.44
ai,Ooru naito rongu: Sanji,0.3333333333333333,0.3333333333333333,4.826666666666667
human,Operation Delta Force 3: Clear Target,0.0,0.0,2.68
ai,Operation Delta Force 3: Clear Target,0.0,0.6666666666666666,5.0633333333333335
human,Ordinary People,0.0,0.125,4.16875
ai,Ordinary People,0.5,0.1666666666666666,4.343333333333333
human,Out Cold,0.0,0.3333333333333333,4.8933333333333335
ai,Out Cold,0.0,0.5,4.5600000000000005
human,Pajama Party,0.0,1.0,4.35
ai,Pajama Party,0.0,0.3333333333333333,4.3500000000000005
human,Pamuk Prenses ve 7 cüceler,0.0,0.0,4.47
ai,Pamuk Prenses ve 7 cüceler,0.0,1.0,4.84
human,Payne,1.0,0.0,3.56
ai,Payne,0.0,0.6666666666666666,4.6433333333333335
human,Pearl Harbor II: Pearlmageddon,0.2,0.4,4.924
ai,Pearl Harbor II: Pearlmageddon,0.0,0.5,5.375
human,Pierscien i róza,0.3333333333333333,0.3333333333333333,4.263333333333334
ai,Pierscien i róza,0.25,0.25,4.575
human,Poem 8,0.3333333333333333,0.0,4.916666666666667
